i_animal_type,i_weight_kg,i_age_years,i_previous_antibiotic_use,i_symptom_duration_days,i_temperature_c,i_severity_score,o_prescribed_dose_mg,o_treatment_duration_days,o_expected_recovery_days
cat,7.0,7.6,0,5,39.0,8.8,114.0,10.0,11.0
dog,11.6,8.1,1,10,37.7,3.2,152.0,7.0,5.0
cat,8.9,5.1,1,6,39.3,9.7,157.5,12.0,11.0
cat,4.3,3.5,1,4,39.7,9.6,111.0,11.0,11.0
cat,3.3,5.9,0,2,39.3,3.2,49.0,4.0,7.0
dog,7.5,3.6,1,6,37.6,4.1,115.5,6.0,4.0
cat,2.0,9.0,1,8,37.1,9.1,85.5,12.0,8.0
cat,11.5,5.3,0,8,39.0,9.7,163.5,12.0,10.0
cat,9.5,4.3,0,7,38.0,5.0,120.0,7.0,5.0
dog,4.6,5.4,1,6,38.7,3.9,85.5,6.0,6.0
cat,0.9,2.3,1,2,39.6,5.7,57.5,6.0,7.0
cat,10.1,3.1,1,7,38.0,7.2,157.0,10.0,6.0
cat,5.7,7.4,0,11,38.2,3.5,74.5,7.0,6.0
cat,9.7,3.7,0,12,38.7,7.6,135.0,12.0,8.0
dog,1.2,2.9,0,14,37.6,1.5,30.0,6.0,4.0
cat,4.2,6.1,0,14,38.0,1.4,49.0,6.0,4.0
dog,6.0,7.4,1,5,38.5,4.5,102.5,6.0,7.0
dog,6.1,6.4,0,6,38.3,4.2,82.0,6.0,6.0
dog,4.6,7.0,0,10,38.9,3.8,65.0,7.0,7.0
cat,7.9,3.5,0,8,40.4,5.4,106.0,8.0,9.0
dog,2.8,2.2,1,14,38.6,3.9,67.5,9.0,4.0
cat,5.6,8.0,1,8,37.9,2.7,89.5,5.0,5.0
dog,6.4,4.4,0,3,39.5,3.8,83.0,5.0,7.0
dog,7.5,4.5,0,12,37.4,9.8,124.0,14.0,7.0
dog,8.1,7.7,1,12,37.5,4.7,124.5,9.0,5.0
dog,2.6,6.1,1,14,38.1,5.0,71.0,10.0,6.0
dog,1.4,5.9,1,7,38.3,6.2,65.0,9.0,7.0
dog,9.8,9.3,1,1,38.1,9.9,167.5,10.0,11.0
dog,7.0,3.7,1,1,38.5,3.2,106.0,4.0,4.0
dog,3.8,6.9,1,7,38.7,7.1,93.5,9.0,9.0
cat,10.7,5.1,1,10,39.2,7.4,164.0,11.0,9.0
cat,6.3,5.5,1,9,38.6,6.5,115.5,10.0,8.0
dog,9.5,8.1,0,7,38.1,1.8,104.0,4.0,5.0
