index,case name,i_h2i_rate,i_pci_rate,i_wpi_rate,i_ngi_rate,i_o2_volfract,i_ng_temp,i_h2_temp,i_hbtemp,i_wind_rt,i_blastH2O,i_BdnH2O,i_sgi_rate,i_sgtemp,i_sgi_H2COratio,i_sgi_ReProRatio,o_tuy_velo,o_tuy_temp,o_burn,o_delp,o_co_vf,o_co2_vf,o_h2_vf,o_n2_vf,o_co_util,o_h2_util,o_tgt,o_coke_rt,o_hmt,o_co2_sollos,o_h2o_sollos,o_feo_sollos,o_hm_rt,o_mw_rt,o_wf_rt,o_hm_h2share,o_mw_h2share,o_wf_h2share,o_prod_rt,o_fta
1,H2-0_PCI-0_WPI-0_NG-120_O2-21_NGT-300_H2T-0_HBT-1200_WR-195_MHB-5.7_BM-7_SGI-0_SGT-0_SGC_0 ,0,0,0,120,21,300,0,1200,195,5.7,7,0,0,0,0,0,0,0,2.19E+05,2.55E-01,1.10E-01,1.19E-01,5.17E-01,3.02E+01,3.15E+01,2.89E+02,5.06E+02,9.47E+02,1.77E+01,2.00E+01,4.49E+01,1.22E+02,2.64E+02,6.87E+02,3.16E+01,2.67E+01,6.35E+01,4.05E+03,1.80E+03
2,H2-0_PCI-0_WPI-0_NG-100_O2-21_NGT-300_H2T-0_HBT-1200_WR-195_MHB-5.7_BM-1_SGI-0_SGT-0_SGC_0 ,0,0,0,100,21,300,0,1200,195,5.7,1,0,0,0,0,0,0,0,1.98E+05,2.61E-01,1.14E-01,1.02E-01,5.23E-01,3.03E+01,3.20E+01,3.81E+02,5.37E+02,1.11E+03,1.98E+01,1.85E+01,5.26E+01,1.22E+02,2.65E+02,6.84E+02,2.79E+01,2.34E+01,6.06E+01,4.06E+03,1.85E+03
3,H2-0_PCI-0_WPI-0_NG-100_O2-21_NGT-300_H2T-0_HBT-1200_WR-195_MHB-5.7_BM-5_SGI-0_SGT-0_SGC_0 ,0,0,0,100,21,300,0,1200,195,5.7,5,0,0,0,0,0,0,0,1.74E+05,2.62E-01,1.14E-01,1.02E-01,5.23E-01,3.02E+01,3.17E+01,3.03E+02,5.36E+02,1.09E+03,2.15E+01,1.96E+01,5.09E+01,1.23E+02,2.66E+02,6.90E+02,2.77E+01,2.35E+01,6.08E+01,4.08E+03,1.85E+03
4,H2-0_PCI-0_WPI-0_NG-100_O2-21_NGT-300_H2T-0_HBT-1200_WR-195_MHB-5.7_BM-7_SGI-0_SGT-0_SGC_0 ,0,0,0,100,21,300,0,1200,195,5.7,7,0,0,0,0,0,0,0,1.60E+05,2.62E-01,1.14E-01,1.01E-01,5.22E-01,3.03E+01,3.15E+01,2.62E+02,5.33E+02,1.10E+03,2.09E+01,1.92E+01,5.22E+01,1.24E+02,2.68E+02,6.90E+02,2.77E+01,2.32E+01,6.06E+01,4.09E+03,1.85E+03
5,H2-0_PCI-0_WPI-0_NG-100_O2-21_NGT-300_H2T-0_HBT-1200_WR-195_MHB-5.7_BM-3_SGI-0_SGT-0_SGC_0 ,0,0,0,100,21,300,0,1200,195,5.7,3,0,0,0,0,0,0,0,1.59E+05,2.62E-01,1.14E-01,1.01E-01,5.23E-01,3.03E+01,3.19E+01,3.37E+02,5.33E+02,1.08E+03,2.08E+01,1.92E+01,5.24E+01,1.24E+02,2.68E+02,6.95E+02,2.77E+01,2.32E+01,6.07E+01,4.11E+03,1.85E+03
6,H2-0_PCI-0_WPI-0_NG-41_O2-21_NGT-300_H2T-0_HBT-1200_WR-160_MHB-5.7_BM-1_SGI-0_SGT-0_SGC_0 ,0,0,0,41,21,300,0,1200,160,5.7,1,0,0,0,0,0,0,0,6.72E+04,2.05E-01,1.98E-01,5.08E-02,5.47E-01,4.91E+01,4.23E+01,2.64E+02,4.78E+02,1.32E+03,1.88E+01,1.09E+01,4.63E+01,1.30E+02,2.81E+02,7.16E+02,2.09E+01,1.24E+01,3.75E+01,4.30E+03,2.00E+03
7,H2-0_PCI-0_WPI-0_NG-41_O2-21_NGT-300_H2T-0_HBT-1200_WR-160_MHB-5.7_BM-3_SGI-0_SGT-0_SGC_0 ,0,0,0,41,21,300,0,1200,160,5.7,3,0,0,0,0,0,0,0,6.85E+04,2.03E-01,1.99E-01,5.06E-02,5.47E-01,4.95E+01,4.25E+01,2.20E+02,4.76E+02,1.31E+03,1.88E+01,1.09E+01,4.60E+01,1.31E+02,2.82E+02,7.19E+02,2.10E+01,1.23E+01,3.71E+01,4.34E+03,2.00E+03
8,H2-0_PCI-0_WPI-0_NG-60_O2-21_NGT-300_H2T-0_HBT-1200_WR-195_MHB-5.7_BM-5_SGI-0_SGT-0_SGC_0 ,0,0,0,60,21,300,0,1200,195,5.7,5,0,0,0,0,0,0,0,9.73E+04,2.46E-01,1.47E-01,6.39E-02,5.43E-01,3.75E+01,3.68E+01,2.65E+02,5.40E+02,1.45E+03,2.44E+01,1.44E+01,4.98E+01,1.34E+02,2.91E+02,7.61E+02,2.04E+01,1.58E+01,4.76E+01,4.47E+03,1.97E+03
9,H2-0_PCI-0_WPI-0_NG-60_O2-21_NGT-300_H2T-0_HBT-1200_WR-195_MHB-5.7_BM-3_SGI-0_SGT-0_SGC_0 ,0,0,0,60,21,300,0,1200,195,5.7,3,0,0,0,0,0,0,0,9.76E+04,2.43E-01,1.50E-01,6.34E-02,5.43E-01,3.82E+01,3.75E+01,2.99E+02,5.33E+02,1.44E+03,2.40E+01,1.43E+01,4.84E+01,1.37E+02,2.95E+02,7.67E+02,2.05E+01,1.58E+01,4.72E+01,4.52E+03,1.97E+03
10,H2-0_PCI-0_WPI-0_NG-60_O2-21_NGT-300_H2T-0_HBT-1200_WR-195_MHB-5.7_BM-1_SGI-0_SGT-0_SGC_0 ,0,0,0,60,21,300,0,1200,195,5.7,1,0,0,0,0,0,0,0,1.00E+05,2.42E-01,1.51E-01,6.33E-02,5.44E-01,3.85E+01,3.79E+01,3.36E+02,5.31E+02,1.44E+03,2.40E+01,1.43E+01,4.83E+01,1.37E+02,2.96E+02,7.73E+02,2.06E+01,1.57E+01,4.69E+01,4.55E+03,1.97E+03
